// sample				nEvt	L(/pb)	filt  collection		  comment
Fall11/Z_2m__19  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__20  498624   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__21  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__22  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__23  496758   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__24  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__25  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__26  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__27  498666   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__28  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__29  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__30  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 

Fall11/Z_2m_ZPtFilt__1  679800   1700. 0.141 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m_ZPtFilt__2  694784   1700. 0.141 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m_ZPtFilt__3  689045   1700. 0.141 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m_ZPtFilt__4  690297   1700. 0.141 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m_ZPtFilt__5  691260   1700. 0.142 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m_ZPtFilt__6  692377   1700. 0.141 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m_ZPtFilt__7   32789   1700. 0.142 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 

Fall11/Z_2t__1  105316   1700. 0.042 DYToTauTau_M-20_CT10_TuneZ2_7TeV-powheg-pythia-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2t__2  106288   1700. 0.043 DYToTauTau_M-20_CT10_TuneZ2_7TeV-powheg-pythia-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
